Unnamed: 0,Timestamp,Student Id,Paid Course? (Y/N),Course Fee Email,Date Sent,Payment Receipt Sent,How And Where Did You Hear About This Course ,Country,City,Gender,Age,Are You Currently Attending University   College ,Latest Degree Completed Or In Progress ,University Attended,Discipline Of Degree ,Have You Taken Any Foundational Course In Data Science   Econometrics   Statistics   Computer Science ,What Programming Language S  Are You Most Comfortable In  R  Python  Java  Js  Etc    If None Please Type  None   ,Prior Work Experience In Data Science Or Machine Learning,Primary Reason For Taking This Course ,Do You Understand That This Is A Paid Course,Prior Formal Education In R,Prior Formal Education In Python,Prior Work Experience In R ,Prior Work Experience In Python ,Personal Education/Knowledge In R,Personal Education/Knowledge In Python,Linkedin?,Do You Have Any Feedback  Thoughts  Or Comments You Would Like To Share ,Date,Time,Qr_Uni_Col,Uni_Col,Payment
1,2022-08-25 14:35:00,1,Yes,Sent,8/26/2022,Yes,Through a friend,Pakistan,Karachi,Male,23,No,Bachelors,University of Illinois,Bachelor of science in marketing and data analytics,Data Science,Have taken a course in R but not so comfortable. I have just gone through python and find it more doable.,Beginner (0 Years),"I did my major in marketing and due to my extensive interest in the field of analytics I did my minor in data analytics. The courses I took in minor helped me explore my hidden interest for analytics and data visualisation. I really love playing with the data and keenly interested in having a strong hold in this field. Hence, I believe it sounds like a great opportunity to scale my passion and career",Yes,Learner (1 Year or Less),Beginner (0 Years),None (0 Years),None (0 Years),Learner (1 Year or Less),Beginner (0 Years),TRUE,None,2022-08-25 00:00:00,2022-10-21 14:35:19,University of Illinois,University of Illinois,1
2,2022-08-22 05:25:00,2,No,Sent,8/23/2022,not yet,Friend,Pakistan,Karachi,Female,32,No,Masters,Ned university,M.E.,Data Science,Python,Beginner (0 Years),Knowledge,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Learner (1 Year or Less),None,None,2022-08-22 00:00:00,2022-10-21 05:25:04,Ned university,NED,0
3,2022-08-22 05:26:00,3,No,Sent,8/23/2022,not yet,WhatsApp group,Pakistan,Lahore,Male,22,No,Masters,"Univeristy of agriculture, Faislabad",Msc,None of them,Python,Beginner (0 Years),Learning,No,Learner (1 Year or Less),Learner (1 Year or Less),Some (1 Year or Less),Some (1 Year or Less),Learner (1 Year or Less),Learner (1 Year or Less),TRUE,Good,2022-08-22 00:00:00,2022-10-21 05:26:34,"Univeristy of agriculture, Faislabad","Univeristy of agriculture, Faislabad",0
4,2022-08-22 05:27:00,4,No,Sent,8/23/2022,not yet,Whatsapp group,Pakistan,Peshawar,Male,22,Yes,Bachelors,Institute of Management Sciences Peshawar (IMScieces),Software Engineering,All of them,"R, paython",Learner (1 Year or Less),I'm planning to get my Mastet degree in Data Science so this will help me out in that and will get some knowledge and learn new things as well,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Beginner (0 Years),TRUE,No comments,2022-08-22 00:00:00,2022-10-21 05:27:38,Institute of Management Sciences Peshawar (IMScieces),IOBM,0
5,2022-08-22 05:31:00,5,Yes,Sent,8/23/2022,not yet,Through a collegue,Pakistan,Karachi,Male,23,Yes,Bachelors,Institute of Business Administration,Computer Science,Computer Science,Java,Learner (1 Year or Less),"I am really interested in R, python and statistics. I wanted to learn and polish these tools to enhance my Data Science capabilities.",Yes,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),None (0 Years),Beginner (0 Years),Intermediate (2-3 Years),TRUE,Looking forward learning with you. It's an amazing opportunity for me.,2022-08-22 00:00:00,2022-10-21 05:31:42,Institute of Business Administration,IBA,0
6,2022-08-22 05:32:00,6,No,Sent,8/23/2022,not yet,WhatsApp group,Pakistan,Karachi,Male,23,Yes,Bachelors,Institute of Business Administration,Computer Science,Computer Science,"Java, Python, JS",Learner (1 Year or Less),Learning and experience,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),Learner (1 Year or Less),TRUE,None,2022-08-22 00:00:00,2022-10-21 05:32:14,Institute of Business Administration,IBA,0
7,2022-08-22 05:34:00,7,No,Sent,8/23/2022,not yet,LinkedIn,Pakistan,Peshawar,Male,21,Yes,Bachelors,Institute of Management Sciences Peshawar,Bachelor of Computer Science,Data Science,Python and java,Learner (1 Year or Less),I love Data science and i have completed many courses from Coursera and YouTube and more i have done many projects for my learning and this course would help to grow and excel my skills in the field of data science,No,Learner (1 Year or Less),Learner (1 Year or Less),Some (1 Year or Less),Intermediate (2-3 Years),Learner (1 Year or Less),Intermediate (2-3 Years),TRUE,None,2022-08-22 00:00:00,2022-10-21 05:34:04,Institute of Management Sciences Peshawar,IOBM,0
8,2022-08-22 05:34:00,8,Yes,Sent,8/23/2022,not yet,Group,Pakistan,Karachi,Male,20,Yes,H.S.C,Sindh Madarsatul Islam University,Bscs,Computer Science,None,Beginner (0 Years),To learn new things,Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),None,-,2022-08-22 00:00:00,2022-10-21 05:34:30,Sindh Madarsatul Islam University,SMIU,0
9,2022-08-22 05:37:00,9,No,Sent,8/24/2022,not yet,linkedin,Pakistan,Islamabad,Male,20,Yes,Bachelors,bahria University Islamabad,computer science,Computer Science,"Python , JavaScript , C++",Intermediate (2-3 Years),Revision of my foundation skills and development of industry best practices,No,Beginner (0 Years),Learner (1 Year or Less),Intermediate (2-3 Years),Intermediate (2-3 Years),Beginner (0 Years),Intermediate (2-3 Years),TRUE,None,2022-08-22 00:00:00,2022-10-21 05:37:56,bahria University Islamabad,bahria University Islamabad,0
10,2022-08-22 05:39:00,10,No,Sent,8/24/2022,not yet,LinkedIn,Pakistan,Karachi,Male,24,No,Bachelors,Institute of Business Administration,Bachelors of Science in Accounting and Finance,All of them,R and Python,Beginner (0 Years),Professional growth,No,Learner (1 Year or Less),Beginner (0 Years),Some (1 Year or Less),None (0 Years),Learner (1 Year or Less),Beginner (0 Years),TRUE,None,2022-08-22 00:00:00,2022-10-21 05:39:15,Institute of Business Administration,IBA,0
