S.No,id,grade,annual_inc,short_emp,emp_length_num,home_ownership,dti,purpose,term(Months),last_delinq_none,last_major_derog_none,revol_util,total_rec_late_fee,od_ratio,Debt,Above Avg Income,Below Avg DTI,bad_loan
1,11454641,A,100000,1,1,RENT,26.27,credit_card,36,1,0,43.2,0,0.160624077,26270,0,1,0
2,9604874,A,83000,0,4,OWN,5.39,credit_card,36,0,0,21.5,0,0.810776768,4473.7,0,0,0
3,9684700,D,78000,0,11,MORTGAGE,18.45,debt_consolidation,60,1,0,46.3,0,0.035147175,14391,0,1,1
4,9695736,D,37536,0,6,MORTGAGE,12.28,Other,60,0,0,10.7,0,0.534886729,4609.4208,1,0,1
5,9795013,D,65000,0,11,MORTGAGE,11.26,debt_consolidation,36,0,0,15.2,0,0.166500123,7319,1,0,0
6,9856168,E,45600,1,0,MORTGAGE,1.5,Other,60,0,0,14.6,0,0.30841038,684,1,0,1
7,9825536,B,45000,0,5,MORTGAGE,18.69,debt_consolidation,36,0,0,29.5,0,0.045062413,8410.5,1,1,1
8,7450630,D,96000,1,1,RENT,6.41,Other,36,0,0,55.9,0,0.238576126,6153.6,0,0,0
9,9767996,F and Below,60000,0,11,MORTGAGE,26.27,Other,60,0,0,94.1,0,0.67483453,15762,1,1,0
10,9858164,A,130000,0,3,MORTGAGE,14.6,Other,36,1,0,82.7,0,0.78238275,18980,0,0,0
11,9828271,E,102000,0,11,MORTGAGE,23.9,credit_card,60,0,0,57,0,0.695201635,24378,0,1,0
12,9934676,D,84000,0,11,OTHER,19.56,debt_consolidation,36,0,0,52.5,0,0.328954449,16430.4,0,1,1
14,9808485,C,40800,1,1,OWN,26.21,credit_card,36,1,0,28.4,0,0.524121363,10693.68,1,1,1
15,10064734,E,70000,0,11,MORTGAGE,11.23,Other,60,0,0,84.3,0,0.298541245,7861,0,0,0
16,10104967,B,80000,0,11,RENT,4.02,debt_consolidation,36,0,0,68.6,0,0.46310814,3216,0,0,0
17,9924735,C,120000,0,4,MORTGAGE,14.02,credit_card,60,1,0,71.2,0,0.984784293,16824,0,0,0
18,10105115,B,37000,1,1,OWN,19.62,Other,36,1,0,68.5,0,0.501134921,7259.4,1,1,1
19,10105178,C,90000,0,11,MORTGAGE,7.13,credit_card,60,0,0,69.8,0,0.398072447,6417,0,0,0
